Senator,Party Affiliation,Full Question,Comey,Comey Response
WARNER,Democrat,"Thank you, director Comey, again, for your service. Your comments to your FBI family, I know were heartfelt. Know that there are some in the administration who tried to smear your reputation. You had Acting Director McCabe in public testimony a few weeks back, and in public testimony yesterday reaffirm that the vast majority in FBI community had great trust in your leadership, and obviously trust in your integrity. I want to go through a number of the meetings that you referenced in your testimony, and let's start with the January 6th meeting in Trump Tower, where you went up with a series of officials to brief the President-elect on the Russia investigation. My understanding is you remained afterwards to brief him, on again, ""Some personally sensitive aspects of the information you relayed."" Now you said after that briefing you felt compelled to document that conversation that you actually started documenting it as soon as you got into the car. Now you've had extensive experience at the department of justice and at the FBI. You've worked under presidents of both parties. What was about that meeting that led you to determine that you needed to start putting down a written record?",COMEY,"A combination of things. I think the circumstances, the subject matter, and the person I was interacting with. Circumstances, first, I was alone with the president of the United States, or the president-elect, soon to be president. The subject matter I was talking about matters that touch on the FBI's core responsibility, and that relate to the president, president-elect personally, and then the nature of the person. I was honestly concerned he might lie about the nature of our meeting so I thought it important to document. That combination of things I had never experienced before, but had led me to believe I got to write it down and write it down in a very detailed way."
WARNER,Democrat,"I think that's a very important statement you just made. Then, unlike your dealings with presidents of either parties in your past experience, in every subsequent meeting or conversation with this president, you created a written record. Did you feel that you needed to create this written record of these memos, because they might need to be relied on at some future date?",COMEY,"Sure. I created records after conversations that I think I did it after each of our nine conversations. If I didn't, I did it for nearly all of them especially the ones that were substantive. I knew there might come a day when I would need a record of what had happened, not just to defend myself, but to defend the FBI and our integrity as an institution and the Independence of our investigative function. That's what made this so difficult is it was a combination of circumstances, subject matter and the particular person."
WARNER,Democrat,"And so in all your experience, this was the only president that you felt like in every meeting you needed to document because at some point, using your words, he might put out a non-truthful representation of that meeting.",COMEY,"That's right, senator. As I said, as FBI director I interacted with President Obama, I spoke only twice in three years, and didn't document it. When I was Deputy Attorney General I had a one one-on-one with President Bush been I sent an email to my staff but I didn't feel with president bush the need to document it in that I way. Again, because of the combination of those factors, just wasn't present with either President Bush or President Obama."
WARNER,Democrat,"I think that is very significant. I think others will probably question that. Now, the chairman and I have requested those memos. It is our hope that the FBI will get this committee access to those memos so again, we can read that contemporaneous rendition so that we've got your side of the story. Now I know members have said and press have said that a great deal has been made whether the president asked and indicated whether the president was the subject of any investigation, and my understanding is prior to your meeting on January 6th, you discussed with your leadership team whether you should be prepared to assure then President-elect Trump that the FBI was not investigating him personally. Now, I understand that your leadership team, agreed with that but was that a unanimous decision? Was there any debate about that?",COMEY,"Wasn't unanimous. One of the members of the leadership team had a view you that although it was technically true we did not have a counter-intelligence file case open on then President-elect Trump. His concern was because we're looking at the potential, again, that's the subject of the investigation, coordination between the campaign and Russia, because it was President Trump, President-elect Trump's campaign, this person's view was inevitably his behavior, his conduct will fall within the scope of that work. And so he was reluctant to make the statement. I disagreed. I thought it was fair to say what was literally true. There was not a counterintelligence investigation of Mr. Trump, and I decided in the moment to say it, given the nature of our conversation."
WARNER,Democrat,"At that moment in time, did you ever revisit that as in the subsequent sessions?",COMEY,"With the FBI leadership team? Sure. And the leader had that view that didn't change. His view was still that it was probably although literally true, his concern was it could be misleading, because the nature of the investigation was such that it might well touch, obviously it would touch, the campaign, and the person that headed the campaign would be the candidate, and so that was his view throughout."
WARNER,Democrat,"Let me move to the January 27th dinner, where you said ""The president began by asking me whether I wanted to stay on as FBI director.Ó He also indicated that Òlots of people"" again your words, ""Wanted the job."" You go on to say the dinner itself was ""Seemingly an effort to"" to quote have you ask him for your job and create some ""patronage"" relationship. The president seems from my reading of your memo to be holding your job or your possibility of continuing your job over your head in a fairly direct way. What was your impression, and what did you mean by this notion of a patronage relationship?",COMEY,"Well, my impression, and again it's my impression, I could always be wrong but my common sense told me what was going on is, either he had concluded or someone had told him that you didn't, you've already asked Comey to stay, and you didn't get anything for it. And that the dinner was an effort to build a relationship, in fact, he asked specifically, of loyalty in the context of asking me to stay. As I said, what was odd about that is we'd already talked twice about it by that point and he said I very much hope you'll stay. In fact, I just remembered sitting a third, when you've seen the. IC tour of me walking across the blue room, and what the president whispered in my ear was ""I really look forward to working with you."" So after those encounters Ñ"
WARNER,Democrat,That was a few days before your firing.,COMEY,"On the Sunday after the inauguration. The next Friday I have dinner and the president begins by wanting to talk about my job and so I'm sitting there thinking wait a minute three times we've already, you've already asked me to stay or talked about me staying. My common sense, again I could be wrong but my common sense told me what's going on here is, he's looking to get something in exchange for granting my request to stay in the job."
WARNER,Democrat,"Again, we ail understand, I was a governor, I had people work for me but this constant requests and again quoting you, him saying that he, despite you explaining your independence, he said ÒI need loyalty, I expect loyalty.Ó Have you ever had any of those kind of requests before from anyone else you've worked for in the government?",COMEY,"No, and what made me uneasy at that point I'm the director of the FBI. The reason that Congress created a t10-year term is so that the director is not feeling as if they're serving at, with political loyalty owed to any particular person. The statue of justice has a blindfolds on. You're not supposed to peek out to see there your patron was please pleased with what you're doing. That's why I became FBI director to be in of that position. That's why I was uneasy."
WARNER,Democrat,"February 14th, seems strange, you were in a meeting, and your direct superior the attorney general was in that meeting as well, yet the president asked everyone to leave, including the attorney general to leave, before he brought up the matter of general Flynn. What was your impression of that type of action? Have you ever seen anything like that before?",COMEY,"No. My impression was something big is about to happen. I need to remember every single word that is spoken, and again, I could be wrong, I'm 56 years old, I've been, seen a few things, my sense was the attorney general knew he shouldn't be leaving which was why he was leaving and I don't know Kushner well but I think he picked up on the same thing so I knew something was about to happen that I needed to pay very close attention to."
WARNER,Democrat,"I found it very interesting that, that in the memo that you wrote after this February 14th pull-aside, you made clear that you wrote that memo in a way that was unclassified. If you affirmatively made the decision to write a memo that was unclassified, was that because you felt at some point, the facts of that meeting would have to come clean and come clear, and actually be able to be cleared in a way that could be shared with the American people?",COMEY,"Well, I remember thinking, this is a very disturbing development, really important to our work. I need to document it and preserve it in a way, and this committee gets this but sometimes when things are classified, it tangled them up."
WARNER,Democrat,Amen.,COMEY,"It's hard to share within an investigative team. You have to be careful how you handled it for good reason. If I write it such a way that doesnÕt include anything of a classification, that would make it easier for to us discuss within the FBI and the government, and to hold onto it in a way that makes it accessible to us."
WARNER,Democrat,Well again it's our hope particularly since you are a pretty knowledgeable guy and wrote this in a way that it was unqualified this committee will get access that unclassified document. I this I it will be important to our investigation. Let me ask you this in closing. How many ongoing investigations at any time does the FBI have?,COMEY,Tens of thousands.
WARNER,Democrat,Tens of thousands. Did the president ever ask about any other ongoing investigation?,COMEY,No.
WARNER,Democrat,Did he ever ask about you trying to interfere on any other investigation?,COMEY,No.
WARNER,Democrat,"I think, again, this speaks volumes. This doesn't even get to the questions around the phone calls about lifting the cloud. I know other members will get to that, but I really appreciate your testimony, and appreciate your service to our nation.",COMEY,"Thank you, Senator Warner. I'm sitting here going through my contacts with him. I had one conversation with the president that was classified where he asked about our, an ongoing intelligence investigation, it was brief and entirely professional."
WARNER,Democrat,He didn't ask to you take any specific action?,COMEY,No.
WARNER,Democrat,Unlike what we did vis-ˆ-vis will Flynn and the Russia investigation?,COMEY,Correct.
RISCH,Republican,"Thank you very much. Mr. Comey, thank you for your service. America needs more like you and we really appreciate it. Yesterday, I got and everybody got the seven pages of your direct testimony that is now a part of the record here. And the first Ñ I read it, and then I read it again, and all I could think was number one, how much hated the class of legal writing when I was in law school, and you are the guy that probably got the A after reading this. I find it clear. I find it concise, and having been a prosecutor for a number of years and handling hundreds, maybe thousands of cases and read police reports, investigative reports, this is as good as it gets, and I really appreciate that. Not only the conciseness and the clearness of it, but also the fact that you have things that were written down contemporaneously when they happened, and you actually put them in quotes so we know exactly what happened and we're not getting some rendition of it that's in your mind.",COMEY,"Thank you, sir."
RISCH,Republican,You're to be complimented.,COMEY,I had great parents and great teachers who beat that into me.
RISCH,Republican,"That's obvious, sir. The chairman walked you through a number of things that the American people need to know and want to know. Number one, obviously, we all know about the active measures that the Russians have taken. I think a lot of people were surprised at this. Those of us that work in the intelligence community, it didn't come as a surprise, but now the American people know this, and it's good they know this, because this is serious and it's a problem. I think secondly, I gather from all this that you're willing to say now that, while you were director, the president of the United States was not under investigation. Is that a fair statement?",COMEY,That's correct.
RISCH,Republican,"All right, so that's a fact that we are rely on?",COMEY,"Yes, sir."
RISCH,Republican,"I remember, you talked with us shortly after February 14th, when the ""New York Times"" wrote an article that suggested that the trump campaign was colluding with the Russians. Do you remember reading that article when it first came out?",COMEY,"I do, it was about allegedly extensive electronic surveillance in their communications."
RISCH,Republican,Correct. That upset you to the point where you surveyed the intelligence community to see whether you were missing something in that. Is that correct?,COMEY,"That's correct. I want to be careful in open setting, but Ñ"
RISCH,Republican,"I'm not going to go any further than that, so thank you. In addition to that, after that, you sought out both Republican and Democrat senators to tell them that, hey, I don't know where this is coming from, but this is not the case. This is not factual. Do you recall that?",COMEY,Yes.
RISCH,Republican,"Okay. So again, so the American people can understand this, that report by the New York Times was not true. Is that a fair statement?",COMEY,"In the main, it was not true. And again, all of you know this. Maybe the American people don't. The challenge, and I'm not picking on reporters about writing stories about classified information, is the people talking about it often don't really know what's going on, and going on are not talking about it. We don't call the press to say, hey, you don't that thing wrong about the sensitive topic. We have to leave it there. I mentioned to the chairman the nonsense around what influenced me to make the July 5th statement. Nonsense. But I can't go explaining how it is nonsense."
RISCH,Republican,"Thank you. All right. So those three things we now know regarding the active measures, whether the president is under investigation and the collusion between the trump campaign and the Russians. I want to drill right down, as my time is limited, to the most recent dust up regarding allegations that the president of the United States obstructed justice. Boy, you nailed this down on page 5, paragraph 3. You put this in quotes. Words matter. You wrote down the words so we can all have the words in front of us now. There's 28 words now in quotes. It says, quote, I hope -- this is the president speaking Ñ I hope you can see your way clear to letting this go, to letting Flynn go. He is good guy. I hope you can let this go. Now, those are his exact words, is that correct.",COMEY,Correct.
RISCH,Republican,You wrote them here and put them in quotes.,COMEY,Correct.
RISCH,Republican,Thank you for that. He did not direct you to let it go?,COMEY,"Not in his words, no."
RISCH,Republican,He did not order you to let it go?,COMEY,"Again, those words are not an order."
RISCH,Republican,"He said, I hope. Now, like me, you probably did hundreds of cases, maybe thousands of cases, charging people with criminal offenses and, of course, you have knowledge of the thousands of cases out there where people have been charged. Do you know of any case where a person has been charged for obstruction of justice or, for that matter, any other criminal offense, where they said or thought they hoped for an outcome?",COMEY,I don't know well enough to answer. The reason I keep saying his words is I took it as a direction.
RISCH,Republican,Right.,COMEY,"I mean, this is a president of the United States with me alone saying I hope this. I took it as, this is what he wants me to do. I didn't obey that, but that's the way I took it."
RISCH,Republican,You may have taken it as a direction but that's not what he said.,COMEY,Correct.
RISCH,Republican,"He said, I hope.",COMEY,"Those are his exact words, correct."
RISCH,Republican,"You don't know of anyone ever being charged for hoping something, is that a fair statement?",COMEY,I don't as I sit here.
FEINSTEIN,Democrat,"Thanks very much, Mr. Chairman. Mr. Comey, I just want you to know that I have great respect for you. Senator Cornyn and I sit on the judiciary committee and we have the occasion to have you before us. You're a man of strength and I regret the situations we all find ourselves in. I just want to say that. Let me begin with one overarching question. Why do you believe you were fired?",COMEY,"I guess I don't know for sure. I believe Ñ I think the president, at his word, that I was fired because of the Russia investigation. Something about the way I was conducting it, the president felt created pressure on him that he wanted to relieve. Again, I didn't know that at the time. I watched his interview. I read the press accounts of his conversations. I take him at his word there. Look, I could be wrong. Maybe he's saying something that's not true. I take him at his word, at least based on what I know now."
FEINSTEIN,Democrat,Talk for a moment about his request that you pledge loyalty and your response to that and what impact you believe that had.,COMEY,"I don't know for sure because I don't know the president well enough to read him well. I think it was Ñ first of all, relationship didn't get off to a great start, given the conversation I had to have on January 6th. This didn't improve the relationship because it was very, very awkward. He was asking for something, and I was refusing to give it. Again, I don't know him well enough to know how he reacted to that exactly."
FEINSTEIN,Democrat,Do you believe the Russia investigation played a role?,COMEY,In why I was fired?
FEINSTEIN,Democrat,Yes.,COMEY,Yes. I've seen the president say so.
FEINSTEIN,Democrat,"Let's go to the Flynn issue. The senator outlined, ÒI hope you could see your way to letting Flynn go. He is a good guy. I hope you can let this go.Ó But you also said in your written remarks, and I quote, that you Òhad understood the president to be requesting that we drop any investigation of Flynn in connection with false statements about his conversations with the Russian ambassador in December,Ó. Please go into that with more detail.",COMEY,"Well, the context and the president's word are what led me to that conclusion. As I said in my statement, I could be wrong, but Flynn had been forced to resign the day before. And the controversy around general Flynn at that point in time was centered on whether he lied to the vice president about his nature of conversations with the Russians, whether he had been candid with others in the course of that. So that happens on the day before. On the 1, the president makes reference to that. I understood what he wanted me to do was drop any investigation connected to Flynn's account of his conversations with the Russians."
FEINSTEIN,Democrat,"Now, here's the question, you're big. You're strong. I know the oval office, and I know what happens to people when they walk in. There is a certain amount of intimidation. But why didn't you stop and say, Mr. President, this is wrong. I cannot discuss this with you.",COMEY,"It's a great question. Maybe if I were stronger, I would have. I was so stunned by the conversation that I just took in. The only thing I could think to say, because I was playing in my mind -- because I could remember every word he said -- I was playing in my mind, what should my response be? That's why I carefully chose the words. Look, I've seen the tweet about tapes. Lordy, I hope there are tapes. I remember saying, ÒI agree he is a good guy,Ó as a way of saying, I'm not agreeing with what you asked me to do. Again, maybe other people would be stronger in that circumstance. That's how Ed myself. I hope I'll never have another opportunity. Maybe if I did it again, I'd do it better."
FEINSTEIN,Democrat,"You describe two phone calls that you received from president trump. One on March 30th and one on April 11. He, quote, described the Russia investigation as a cloud that was impairing his ability, end quote, as president, and asked you, quote, to lift the cloud, end quote. How did you interpret that? What did you believe he wanted you to do?",COMEY,"I interpreted that as he was frustrated that the Russia investigation was taking up so much time and energy. I think he meant of the executive branch, but in the public square in general. It was making it difficult for him to focus on other priorities of his. But what he asked me was actually narrowing than that. I think what he meant by the cloud Ñ and, again, I could be wrong Ñ but the entire investigation is taking up oxygen and making it hard for me to focus on what I want to focus on. The ask was to get it out that I, the president, am not personally under investigation."
FEINSTEIN,Democrat,"After April 11th, did he ask you more ever about the Russia investigation? Did he ask you any questions?",COMEY,We never spoke again after April 11th.
FEINSTEIN,Democrat,"You told the president, I would see what we could do. What did you mean?",COMEY,"It was kind of a cowardly way of trying to avoid telling him, we're not going to do that. That I would see what we could do. It was a way of kind of getting off the phone, frankly, and then I turned and handed it to the acting deputy attorney general."
FEINSTEIN,Democrat,"So I want to go into that. Who did you talk with about that, lifting the cloud, stop the investigation back at the FBI, and what was their response?",COMEY,"The FBI, during one of the two conversations Ñ I'm not remembering exactly Ñ I think the first, my chief of staff was sitting in front of me and heard my end of the conversation because the president's call was a surprise. I discussed the lifting the cloud and the request with the senior leadership team who, typically, and I think in all the circumstances, was the deputy director, my chief of staff, the general counsel, the deputy director's chief counsel and, I think in a number of circumstances, the number three in the FBI and a few of the conversations included the head of the national security branch. The group of us that lead the FBI when it comes to national security."
FEINSTEIN,Democrat,You have the president of the United States asking you to stop an investigation that is an important investigation. What was the response of your colleagues?,COMEY,"I think they were as shocked and troubled by it as I was. Some said things that led me to believe that. I don't remember exactly. But the reaction was similar to mine. They're all experienced people who never experienced such a thing, so they were very concerned. Then the conversation turned to about, so what should we do with this information? That was a struggle for us. Because we are the leaders of the FBI, so it's been reported to us, and I heard it and now shared it with the leaders of the FBI, our conversation was, should we share this with any senior officials at the justice department? Our primary concern was, we can't infect the investigative team. We don't want the agents and analysts working on this to know the president of the united States has asked, and when it comes from the president, I took it as a direction, to get rid of this investigation because we're not going to follow that request. So we decided, we have to keep it away from our troops. Is there anyone else we ought to tell at the justice department? We considered whether to tell -- the attorney general said we believe rightly he was shortly going to recuse. There was no other senate confirmed leaders in the justice department at that point. The deputy attorney general was Mr. Boente, acting shortly in the seat. We decided the best move would be to hold it, keep it in a box, document it, as we'd already done, and this investigation is going to do on. Figure out what to do with it down the road. Is there a way to corroborate it? It was our word against the president's. No way to corroborate this. My view of this changed when the prospect of tapes was raised. That's how we thought about it then."
RUBIO,Republican,"Director Comey, the meeting in the oval office where he made the request about Mike Flynn, was that only time he asked you to hopefully let it go?",COMEY,Yes.
RUBIO,Republican,"And in that meeting, as you understood it, he was asking not about the general Russia investigation, he was asking specifically about the jeopardy that Flynn was in himself?",COMEY,"That's how I understood it. Yes, sir."
RUBIO,Republican,"As you perceived it, while he hoped you did away with it, you perceived it as an order, given the setting, the position and some of the circumstances?",COMEY,Yes.
RUBIO,Republican,"At the time, did you say something to the president about, that is not an appropriate request, or did you tell the white house counsel, it's not an appropriate request? Someone needs to tell the president he can't do these things.",COMEY,"I didn't, no."
RUBIO,Republican,Why?,COMEY,"I don't know. I think Ñ as I said earlier, I think the circumstances were such that it was Ñ I was a bit stunned and didn't have the presence of mind. I don't know. I don't want to make you sound like I'm captain courageous. I don't know if I would have said to the president with the presence of mind, sir, that's wrong. In the moment, it didn't come to my mind. What came to my mind is be careful what you say. I said, I agree Flynn is a good guy."
RUBIO,Republican,"On the cloud, we keep talking about this cloud, you perceive the cloud to be the Russian investigation in general?",COMEY,"Yes, sir."
RUBIO,Republican,"His specific ask was you'd tell the American people what you'd told him, told the leaders of Congress, Democrats and Republicans, he was not personally under investigation?",COMEY,"Yes, sir."
RUBIO,Republican,"What he was asking you to do, would you have done here today?",COMEY,"Correct. Yes, sir."
RUBIO,Republican,"Again, at that setting, did you say to the president, it would be inappropriate for you to do so and then talk to the White House counsel or somebody so hopefully they'd talked to him and tell him he couldn't do this?",COMEY,"First time I said, I'll see what we can do. Second time, I explained how it should work, that the White House counsel should contact the deputy attorney general."
RUBIO,Republican,You told him that?,COMEY,"The president said, okay. I think that's what I'll do."
RUBIO,Republican,"To be clear, for you to make a public statement that he was not under investigation wouldn't be illegal but you felt it could potentially create a duty to correct if circumstances changed?",COMEY,"Yes, sir. We wrestled with it before my testimony, where I confirmed that there was an investigation. There were two primary concerns. One was it creates a duty to correct, which I've lived before, and you want to be very careful about doing that. And second, it is a slippery slope. If we say the president and the vice president aren't under investigation. What is the principled investigation for stopping? So the leaderrship, at justice, acting attorney general Boente said, you're not going to do that."
RUBIO,Republican,"On March 30th during the phone call about general Flynn, you said he abruptly shifted and brought up something that you call, quote, unquote, the McCabe thing. Specifically, the Mccabe thing as you understood it was that Mccabe's wife had received campaign money from what I assume means Terry McAuliffe?",COMEY,Yes.
RUBIO,Republican,"Close to the Clintons. Did he say, I don't like this guy because he got money from someone close to Clinton?",COMEY,"He asked me about McCabe and said, how is he going to be with me as president? I was rough on him on the campaign trail."
RUBIO,Republican,Rough on Mccabe?,COMEY,"By his own account, he said he was rough on McCabe and Mrs. McCabe on the campaign trail. How is he going to be? I shared with the president, Andy is a pro. No issue at all. You have to know people of the FBI. They're not Ñ"
RUBIO,Republican,"So the president turns to you and says, remember, I never brought up the McCabe thing because you said he was a good guy, did you perceive that to be a statement that, I took care of you. I didn't do something because you told me he was a good guy. So I'm asking you potentially for something in return. Is that how you perceived it?",COMEY,I wasn't sure what to make of it. That's possible. It was so out of context I didn't have a clear view of what it was.
RUBIO,Republican,"On a number of occasions here, you bring up Ñ let's talk about the general Russia investigation, OK? Page 6 of your testimony you say, the first thing you say is, he asked what we could do to, quote, unquote, lift the cloud, the general Russia investigation, you responded, we are investigating the matter as quickly as we could and there would be great benefit if we didn't find anything for having done the work well. He agreed. He emphasized the problems it was causing him. He agreed it'd be great to have an investigation, all the facts came out and we found nothing. He agreed that would be ideal, but this cloud is still messing up my ability to do the rest of my agenda. Is that an accurate assessment?",COMEY,"Yes, sir. He went farther than that. He said, and if some of my satellites did something wrong, it'd be good to find that out."
RUBIO,Republican,"That is the second part. The satellites, if one of my satellites, I imagine he meant some of the people surrounding his campaign, did something wrong, it'd be great to know that, as well.",COMEY,"Yes, sir. That's what he said."
RUBIO,Republican,"Are those the only two instances in which that back and forth happened, where the president was basically saying, and I'm paraphrasing here, it's okay. Do the Russia investigation. I hope it all comes out. I have nothing to do with anything Russia. It'd be great if it all came out, people around me were doing things that were wrong?",COMEY,"Yes. As I recorded it accurately there. That was the sentiment he was expressing. Yes, sir."
RUBIO,Republican,What it comes down to is the president asked three things of you. Asked for your loyalty. You said you'd be loyally honest.,COMEY,Honestly loyal.
RUBIO,Republican,"Honestly loyal. He asked you on one occasion to let the Mike Flynn thing go because he was a good guy. By the way, you're aware he said the same thing in the press the next day. He is a good guy, treated unfairly, etc. I imagine your FBI agents read that.",COMEY,I'm sure they did.
RUBIO,Republican,"The president's wishes were known to them, certainly by the next day when he had a press conference with the prime minister. Going back, the three requests were, number one, be loyal. Number two, let the Mike Flynn thing go. He is a good guy, been treated unfairly. Number three, can you please tell the American people what these leaders in congress already know, which you already know and what you told me three times, that I'm not under personally under investigation.",COMEY,That's right.
RUBIO,Republican,"We learn more from the newspaper sometimes than the open hearings. Do you ever wonder why, of all the things in the investigation, the only thing never leaked is the fact the president was never personally under investigation, despite the fact that Democrats and Republicans and the leadership of congress have known that for weeks?",COMEY,"I don't know. I find matters that are briefed to the gang of eight are pretty tightly held, in my experience."
RUBIO,Republican,"Finally, who are those senior leaders at the FBI you share these conversations with?",COMEY,"As I said in response to Sen. Feinstein's question, deputy director, my chief of staff, general counsel, deputy directorÕs chief counse and then, more often than not, the number three person at the FBI, the associate deputy director. And quite often, head of the national security branch."
